,ÀÏ·Ã¹øÈ£,Ç°¹ø,½ÃÇèÀÏÀÚ,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,ºÒÇÕ°Ý Ç×¸ñ,ÆÇÁ¤,LOT ¹øÈ£,ÇÕ°Ý¿©ºÎ,»ý»ê³â¿ù,½ÃÇè³â¿ù,¿î¿ë¿ù
21,SG 08 A685 00,81046010,2022-11-01,2.100 ,2.021 ,1500.000 ,550.000 ,500.000 ,2200.000 ,5000.000 ,530.000 ,3.069 ,100.634 ,1.821 ,2.417 ,2.544 ,2.456 ,0.000 ,0.000 ,2.495 ,4.999 ,14.868 ,-14.850 ,9.829 ,0.080 ,20.156 ,0.498 ,9.806 ,0.166 ,21.0,,ÇÕ°Ý,¿¤³Ø¿ø08ÀÚ056-020°¡,ÇÕ°Ý,0809,2211,170.0
22,SG 08 A686 00,81046010,2022-11-03,2.142 ,2.012 ,1600.000 ,560.000 ,520.000 ,2400.000 ,5500.000 ,550.000 ,3.059 ,100.753 ,1.772 ,2.451 ,2.529 ,2.422 ,0.000 ,0.000 ,2.490 ,4.999 ,14.960 ,-14.813 ,10.129 ,-0.086 ,20.788 ,0.322 ,10.101 ,-0.013 ,21.0,,ÇÕ°Ý,¿¤³Ø¿ø08ÀÚ056-020°¡,ÇÕ°Ý,0809,2211,170.0
23,SG 08 A687 00,81046010,2022-10-31,2.086 ,2.009 ,1600.000 ,550.000 ,500.000 ,2300.000 ,5000.000 ,550.000 ,3.061 ,100.494 ,1.802 ,2.402 ,2.529 ,2.451 ,0.000 ,0.000 ,2.476 ,4.993 ,14.941 ,-14.886 ,9.985 ,0.020 ,20.637 ,0.457 ,10.018 ,0.145 ,21.0,,ÇÕ°Ý,¿¤³Ø¿ø08ÀÚ056-020°¡,ÇÕ°Ý,0809,2210,169.0
24,SG 08 A688 00,81046010,2022-11-01,2.456 ,2.006 ,1700.000 ,551.000 ,500.000 ,2400.000 ,5000.000 ,550.000 ,2.955 ,100.674 ,1.816 ,2.476 ,2.539 ,2.446 ,0.000 ,0.000 ,2.490 ,5.017 ,14.978 ,-14.886 ,9.832 ,0.088 ,20.312 ,0.404 ,9.750 ,0.183 ,21.0,,ÇÕ°Ý,¿¤³Ø¿ø08ÀÚ056-020°¡,ÇÕ°Ý,0809,2211,170.0
25,SG 08 A689 00,81046010,2022-11-03,2.064 ,2.039 ,1800.000 ,550.000 ,520.000 ,2300.000 ,5100.000 ,550.000 ,3.069 ,100.768 ,1.812 ,2.466 ,2.520 ,2.437 ,0.000 ,0.000 ,2.490 ,4.993 ,15.015 ,-14.832 ,10.143 ,-0.044 ,20.815 ,0.306 ,10.179 ,0.096 ,21.0,,ÇÕ°Ý,¿¤³Ø¿ø08ÀÚ056-020°¡,ÇÕ°Ý,0809,2211,170.0
26,SG 08 A690 00,81046010,2022-10-31,2.154 ,2.016 ,1600.000 ,550.000 ,520.000 ,2300.000 ,5400.000 ,550.000 ,3.042 ,100.896 ,1.816 ,2.485 ,2.529 ,2.461 ,0.000 ,0.000 ,2.490 ,4.993 ,14.996 ,-14.813 ,10.043 ,-0.056 ,20.453 ,0.282 ,9.988 ,0.046 ,21.0,,ÇÕ°Ý,¿¤³Ø¿ø08ÀÚ056-020°¡,ÇÕ°Ý,0809,2210,169.0
27,SG 08 A691 00,81046010,2022-11-03,2.244 ,2.006 ,1800.000 ,550.000 ,510.000 ,2400.000 ,5500.000 ,550.000 ,3.051 ,100.407 ,1.826 ,2.490 ,2.529 ,2.446 ,0.000 ,0.000 ,2.485 ,4.987 ,15.015 ,-14.923 ,4.442 ,-0.445 ,2.402 ,0.044 ,,,,"±âº»¼º´É(°­Á¦¼¼Â÷), ÃÖ´ëÃßÀû·ü",ºÒÇÕ°Ý,¿¤³Ø¿ø08ÀÚ056-020°¡,ºÒÇÕ°Ý,0809,2211,170.0
28,SG 08 A692 00,81046010,2022-11-01,2.490 ,1.992 ,1600.000 ,550.000 ,500.000 ,2300.000 ,5000.000 ,530.000 ,2.950 ,100.559 ,1.821 ,2.480 ,2.554 ,2.412 ,0.000 ,0.000 ,2.490 ,4.987 ,14.960 ,-14.813 ,9.730 ,-0.071 ,20.127 ,0.320 ,9.712 ,0.031 ,21.0,,ÇÕ°Ý,¿¤³Ø¿ø08ÀÚ056-020°¡,ÇÕ°Ý,0809,2211,170.0
29,SG 08 A693 00,81046010,2022-11-03,2.000 ,2.058 ,1850.000 ,570.000 ,540.000 ,2400.000 ,5500.000 ,550.000 ,3.069 ,99.624 ,1.821 ,2.500 ,2.529 ,2.446 ,0.000 ,0.015 ,2.495 ,4.999 ,15.051 ,-15.253 ,9.702 ,-0.067 ,19.992 ,0.172 ,9.753 ,-0.003 ,21.0,,ÇÕ°Ý,¿¤³Ø¿ø08ÀÚ056-020°¡,ÇÕ°Ý,0809,2211,170.0
30,SG 08 A708 00,81046010,2022-11-02,1.900 ,2.008 ,1600.000 ,550.000 ,530.000 ,2400.000 ,5500.000 ,550.000 ,2.953 ,100.789 ,1.821 ,2.402 ,2.539 ,2.437 ,0.000 ,0.010 ,2.490 ,4.999 ,14.905 ,-14.758 ,9.852 ,0.024 ,20.033 ,0.493 ,9.741 ,0.114 ,21.0,,ÇÕ°Ý,¿¤³Ø¿ø08Â÷056-021°¡,ÇÕ°Ý,0810,2211,169.0
