Code,,LOT 번호,일련번호,품번,시험일자,운용월,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,불합격 항목,합격여부
시험항목,시험항목1,,,,,,스퀴브 점검,,배선 점검,,,,,,기본성능 점검,,,,,,,,,,,,,,최대 추적률 점검,,고착 문턱값 점검,,냉각유지시간,,
,시험항목2,,,,,,열전지스퀴브 저항,사출모터스퀴브 저항,22P-PGND,PGND-22P,22N-PGND,PGND-22N,22P-22N,22N-22P,유도제어장치 점검,,아날로그 신호 점검,,,,,,,,,,강제세차 점검,,SLAP,SLAY,SLAP,SLAY,,,
,시험항목3,,,,,,,,,,,,,,자전기동시간,자전안정화주파수,아날로그 신호 점검,,,,,,,전원 점검,,,SLAP,SLAY,,,,,,,
,시험항목4,,,,,,,,,,,,,,,,ASLAP,ASLAY,ALOSRP,ALOSRY,AVIFSC,AFROLL,AMRSIN,+5V,+15V,-15V,,,,,,,,,
,,엘넥원11마056-044가,SG 11 B440 00,81040050,2020-12-16,115,2.11,2.03,1910,590,570,2410,5800,590,2.34,100.84,1.78,2.44,2.5,2.49,0,0,2.49,4.99,15.01,-14.89,-0.8,-0.11,-25.8,0.12,10.3,0.21,21.92,"기본성능(강제세차), 최대추적률",불합격
,,엘넥원11마056-044가,SG 11 B447 00,81040050,2020-12-16,115,2.12,2.02,1950,600,570,2410,5900,590,2.71,100.32,1.83,2.38,2.49,2.48,0,0.04,2.49,4.97,15,-14.69,-1.05,-0.15,-25.83,0.31,9.76,0.04,22.62,"기본성능(강제세차), 최대추적률",불합격
,,엘넥원11마056-044가,SG 11 B450 00,81040050,2020-12-14,115,2.11,2.02,1900,600,570,2410,5600,590,2.21,99.82,1.8,2.44,2.49,2.49,0,0.02,2.49,4.99,14.9,-14.87,-2.33,0.11,-25.8,0.3,-25.13,0.75,3.4,"기본성능(강제세차), 최대추적률, 고착문턱값, 냉각유지",불합격
,,엘넥원11마056-045가,SG 11 B463 00,81040050,2020-12-14,115,2.12,2.02,1900,600,550,2410,5900,560,2.42,99.75,1.81,2.47,2.51,2.48,0,0,2.49,4.99,15,-15.12,-1.19,-0.2,-26.1,-0.13,-5.34,0.07,23.62,"기본성능(강제세차), 최대추적률, 고착문턱값",불합격
,,엘넥원11마056-045가,SG 11 B465 00,81040050,2020-12-15,115,2.19,2,2000,630,580,2500,6300,590,2.31,100.8,1.79,2.48,2.52,2.48,0,0.06,2.49,5,14.98,-14.79,-1.01,-0.37,-26.21,-0.65,-9.73,-0.07,5,"기본성능(강제세차), 최대추적률, 고착문턱값, 냉각유지",불합격
,,엘넥원11카056-051가,SG 11 B634 00,81040050,2021-01-20,110,2.17,2.03,1900,590,550,2410,5800,570,2.74,101.61,1.81,2.43,2.51,2.49,0,0,2.5,4.99,15.03,-14.76,9.76,0.18,-26.19,0.02,9.74,0.2,23.92,최대추적률,불합격
,,엘넥원11카056-051가,SG 11 B644 00,81040050,2021-01-22,110,2.14,2.03,1910,580,550,2300,5400,580,2.63,100.98,1.83,2.49,2.5,2.5,0,0,2.5,5,15.03,-14.9,-1.07,0.48,-25.85,0.1,-25.06,0.48,4.3,"기본성능(강제세차), 최대추적률, 고착문턱값, 냉각유지",불합격
,,엘넥원11카056-051가,SG 11 B646 00,81040050,2021-01-22,110,2.15,2.08,1900,600,550,2400,6000,570,2.45,101.34,1.83,2.51,2.51,2.5,0,0,2.5,4.99,15,-14.78,-1.42,-0.15,-25.78,-0.19,-25.1,-0.22,3.9,"기본성능(강제세차), 최대추적률, 고착문턱값, 냉각유지",불합격
,,엘넥원11카056-051가,SG 11 B657 00,81040050,2021-01-21,110,2.08,2.01,1800,570,550,2400,5500,570,2.75,101.17,1.78,2.48,2.57,2.45,0,0.02,2.5,4.99,15.03,-14.78,9.96,0.26,21.07,0.81,10,0.34,24,,합격
,,엘넥원11타056-052가,SG 11 B666 00,81040050,2021-01-27,110,2.11,2.11,1950,600,550,2410,5800,560,2.52,101.79,4.3,2.48,4.3,2.48,4.3,2.48,4.3,3.1,9.3,-16.11,-0.49,-0.3,-26.11,-0.13,-8.89,0.12,12.81,"기본성능(유도탄자체점검기능, 아날로그 신호, 강제세차), 최대추적률, 고착문턱값, 냉각유지",불합격
